Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
611005 — HCO Bulletin — Clean Hands Make a Happy Life  [B028-045].txt,0.76%,0.00%,925,Geeignet,7,0,5157
570408 — HCO Bulletin — Group Auditing  [B033-035].txt,3.57%,0.21%,476,Geeignet,17,1,2875
600119 — HCO Bulletin — Casualties  [B036-012].txt,9.02%,0.37%,543,Ungeeignet,49,2,3219
621128 — HCO Bulletin — R2-12 - Practical Drills  [B160-040].txt,6.48%,0.46%,648,Ungeeignet,42,3,3735
700921 — HCO Bulletin — Study Definitions  [B010-110].txt,4.17%,0.68%,1030,Geeignet,43,7,6420
690719 — HCO Bulletin — Dianetics and Illness  [B009-127].txt,4.47%,0.13%,783,Geeignet,35,1,4627
610218 — HCO Bulletin — SOP Goals - Marvelous New Breakthrough - Be-Do-Have Coordinated  [B001-012].txt,3.28%,0.08%,1218,Geeignet,40,1,7212
561203 — HCO Bulletin — BScn - HAA Techniques  [B033-028].txt,2.33%,0.78%,129,Geeignet,3,1,880
"610126 — HCO Bulletin — ''Ultimate'' Processes, The  [B028-006].txt",5.13%,0.00%,448,Ungeeignet,23,0,2615
590219 — HCO Bulletin — Auditor's Code-19  [B023-033].txt,10.00%,0.00%,30,Ungeeignet,3,0,183
800928 Issue 3R — HCO Bulletin — Confessional Repair List - LCRE Words List  [B104-013].txt,6.32%,1.15%,522,Ungeeignet,33,6,3446
711216RA — HCO Bulletin — Interiorization Errors  [B142-051].txt,4.50%,0.49%,1222,Geeignet,55,6,6547
591031 — HCO Bulletin — Create Processes - Dangers and Advantages  [B113-016].txt,18.55%,0.76%,1046,Ungeeignet,194,8,6260
"711208 — HCO Bulletin — CS and Cramming Cycles, The  [B047-029].txt",3.54%,0.00%,424,Geeignet,15,0,2306
690108 — HCO Bulletin — Drugs and ''Insanity'' - Non Compliance and Alter-Is  [B042-001].txt,2.01%,0.15%,1293,Geeignet,26,2,7403
651105 Issue 2 — HCO Bulletin — Lecture Graphs  [B040-085].txt,8.93%,1.79%,56,Ungeeignet,5,1,369
591204 — HCO Bulletin — Allowed Processes 1st Melbourne ACC  [B023-272].txt,2.74%,0.27%,365,Geeignet,10,1,2286
640818 — HCO Bulletin — Clay Table Work - Covering Clay Table Clearing in Detail  [B004-027].txt,1.86%,0.10%,3120,Geeignet,58,3,17058
590703 — HCO Bulletin — General Information  [B035-071].txt,3.01%,0.00%,332,Geeignet,10,0,2324
690430 — HCO Bulletin — Auditor Trust  [B009-054].txt,3.70%,0.00%,270,Geeignet,10,0,1585
721228RA — HCO Bulletin — Auditor's Rights Addition - Revised  [B096-032].txt,7.51%,0.40%,506,Ungeeignet,38,2,2910
690424 Issue 2R — HCO Bulletin — Dianetic Results  [B123-002].txt,2.29%,0.00%,437,Geeignet,10,0,2706
590306 — HCO Bulletin — How to Do a Diagnosis on Dynamic Straightwire  [B023-045].txt,5.23%,0.44%,459,Ungeeignet,24,2,2555
600506 — HCO Horticultural Bulletin — Fifth Dynamic Research  [B027-042].txt,2.91%,1.57%,826,Geeignet,24,13,4980
690724 — HCO Bulletin — Seriously Ill PCs  [B159-041].txt,2.18%,0.00%,229,Geeignet,5,0,1410
"600309 — HCO Bulletin — Expansion of OT-3A Procedure, Step Two - HGC Allowed Processes  [B139-049].txt",1.41%,0.71%,992,Geeignet,14,7,5712
770121RB — HCO Bulletin — False TA Checklist  [B101-001].txt,5.12%,0.13%,3084,Ungeeignet,158,4,16587
781203 — HCO Bulletin — Unreading Flows  [B169-001].txt,2.02%,0.00%,397,Geeignet,8,0,2273
640410 — HCO Bulletin — Auditing Skills  [B040-010].txt,12.06%,0.35%,572,Ungeeignet,69,2,3881
"601121 — HCO Bulletin — Bulletin Check List (WE November 19, 1960)  [B024-227].txt",5.28%,1.06%,284,Ungeeignet,15,3,1732
800211R — HCO Bulletin — Errata  [B165-043].txt,7.10%,0.65%,155,Ungeeignet,11,1,1037
"750329RA — HCO Bulletin — Antibiotics, Administering Of  [B055-040].txt",9.61%,1.12%,2861,Ungeeignet,275,32,17100
840617 — HCO Bulletin — Evil Purposes and False PR  [B062-049].txt,5.26%,0.75%,133,Ungeeignet,7,1,797
840121 Issue 3 — HCO Bulletin — Happiness Rundown and NOTs Pre-OTs  [B062-027].txt,6.61%,1.32%,227,Ungeeignet,15,3,1311
801123 — HCO Bulletin — Case Supervisor Confessional  [B059-038].txt,3.85%,0.05%,2000,Geeignet,77,1,11885
640708 Issue 2 — HCO Bulletin — Good Indicators - R6  [B168-020].txt,7.71%,0.50%,402,Ungeeignet,31,2,2525
680606 — HCO Bulletin — Sec Checking Info  [B008-021].txt,2.60%,1.53%,654,Geeignet,17,10,3777
700801 — HCO Bulletin — FN and Erasure  [B094-025].txt,1.68%,0.24%,417,Geeignet,7,1,2387
581111 — HCO Bulletin — ACC Schedule  [B022-079].txt,11.76%,0.00%,102,Ungeeignet,12,0,645
"750329RA — HCO Bulletin — Antibiotics, Administering Of  [B099-002].txt",7.82%,1.57%,2866,Ungeeignet,224,45,17138
690504 — HCO Bulletin — Dianetics - Major Auditing Faults  [B075-030].txt,0.95%,0.00%,632,Geeignet,6,0,3828
580529 — HCO Bulletin (Special Bulletin) — Standard Clear Procedure and an Experimental Road - Clearing by Valences  [B022-050].txt,4.15%,0.30%,1325,Geeignet,55,4,7604
710319 — HCO Bulletin — List L1C  [B142-021].txt,2.23%,1.11%,359,Geeignet,8,4,2317
600316 — HCO Bulletin — ACC Arrangements  [B024-075].txt,4.84%,0.54%,186,Geeignet,9,1,1107
690507 — HCO Bulletin — Dianetic Course Study Drills  [B009-065].txt,7.79%,0.92%,757,Ungeeignet,59,7,4677
651001 — HCO Bulletin — Mutter TR  [B031-028].txt,1.87%,0.00%,107,Geeignet,2,0,719
700816 — HCO Bulletin — Getting the FN to Examiner  [B078-015].txt,6.61%,0.87%,1150,Ungeeignet,76,10,6175
690619 — HCO Bulletin — Definitions of Terms  [B042-095].txt,11.04%,0.00%,163,Ungeeignet,18,0,991
720215 Issue 2 — HCO Bulletin — Vitamin and Glandular Deficiency Added Data  [B012-029].txt,4.19%,0.60%,167,Geeignet,7,1,944
830827 — HCO Bulletin — Words and Associations  [B057-026].txt,1.14%,0.76%,264,Geeignet,3,2,1675
700126 Issue 2 — HCO Bulletin — Re - Dianetics CS-1 HCOB 9 May 1969 Issue II  [B094-002].txt,2.70%,0.00%,222,Geeignet,6,0,1321
820928 — HCO Bulletin — Mixing Rundowns and Repairs  [B057-015].txt,3.15%,0.25%,1587,Geeignet,50,4,8749
600331 — HCO Bulletin — 'Franchised auditors in USA have had good results...'  [B024-091].txt,4.77%,0.25%,398,Geeignet,19,1,2356
591215 — HCO Bulletin — HAS Co-Audit  [B133-071].txt,2.46%,1.06%,284,Geeignet,7,3,1772
640121 — HCO Bulletin — Meter Level Warning - How to Kill a PC in Level V  [B168-042].txt,3.76%,0.47%,213,Geeignet,8,1,1252
590923 — HCO Bulletin — Correcting HCO Bulletin of 13 August 1959  [B023-188].txt,12.25%,0.66%,302,Ungeeignet,37,2,2015
590325 — HCO Bulletin — HAS Co-Audit and Comm Course  [B133-024].txt,10.36%,0.45%,666,Ungeeignet,69,3,4164
720619 — HCO Bulletin — Dinky Dictionaries  [B012-128].txt,3.42%,0.31%,322,Geeignet,11,1,1985
700612 — HCO Bulletin — Programming of Cases  [B043-047].txt,2.81%,0.24%,2529,Geeignet,71,6,13976
731120 Issue 1 — HCO Bulletin — Anti-Q and A Drill  [B097-014].txt,4.14%,0.00%,314,Geeignet,13,0,1873
610112 — HCO Bulletin — New Help Data  [B028-001].txt,1.67%,0.00%,360,Geeignet,6,0,2071
720224 — HCO Bulletin — Word Clearing OCAs  [B012-040].txt,3.69%,0.58%,867,Geeignet,32,5,4691
600623 — HCO Bulletin — Special Zone Plan - The Scientologist's Role in Life  [B024-158].txt,5.03%,0.30%,3042,Ungeeignet,153,9,17855
600928 — HCO Bulletin — Miscellaneous Items  [B036-147].txt,2.69%,1.20%,2085,Geeignet,56,25,11611
630424 — HCO Bulletin — Routine 3M2 - Tips - The Rocket Read of a Reliable Item  [B153-011].txt,1.93%,0.61%,982,Geeignet,19,6,5197
630505 — HCO Bulletin — Routine 3 - R3 Stable Data  [B177-007].txt,4.51%,1.44%,554,Geeignet,25,8,3057
650823 — HCO Bulletin — Abbreviations and Symbols of Dianetics and Scientology  [B089-005].txt,12.09%,1.67%,1141,Ungeeignet,138,19,8608
621215 — HCO Bulletin — R2-12 - The Fatal Error  [B002-097].txt,8.09%,2.13%,470,Ungeeignet,38,10,2645
710108 — HCO Bulletin — Auditing CS-1 for Dianetics and Scientology  [B142-004].txt,2.47%,0.64%,1255,Geeignet,31,8,7044
600507 — HCO Bulletin — Earmarks of a Hot Terminal  [B024-132].txt,10.43%,0.80%,374,Ungeeignet,39,3,2401
810131 — HCO Bulletin Attachment — Page Last Only  [B082-037].txt,13.56%,2.54%,118,Ungeeignet,16,3,731
581207 — HCO Bulletin — Training Drill Change  [B022-090].txt,4.35%,0.00%,46,Geeignet,2,0,266
790823 Issue 2R — HCO Bulletin — Product Debug Repair List  [B079-025].txt,8.89%,0.84%,3680,Ungeeignet,327,31,21481
"811212 — HCO Bulletin — Theory of the New Grade Chart, The  [B060-024].txt",0.68%,0.00%,881,Geeignet,6,0,5298
"670924 — HCO Bulletin — Report to Ron on Seasickness, A  [B007-011].txt",28.24%,4.71%,85,Ungeeignet,24,4,458
"710701 Issue 1 — HCO Bulletin — Three Types of Word Clearing, The  [B045-001].txt",7.42%,0.44%,229,Ungeeignet,17,1,1376
810129 Issue 2 — HCO Bulletin — HC Outpoint-Pluspoint Lists RB Words List  [B056-069].txt,4.57%,1.92%,416,Geeignet,19,8,2907
"610607 — HCO Bulletin — Academy Schedule, Clarification Of  [B001-053].txt",2.42%,0.25%,1197,Geeignet,29,3,6617
801104 Issue 4 — HCO Bulletin — Temperatures  [B059-030].txt,1.06%,0.35%,283,Geeignet,3,1,1683
710430 — HCO Bulletin — Auditing Comm Cycle  [B011-053].txt,7.14%,0.42%,238,Ungeeignet,17,1,1431
621001 — HCO Bulletin — 3GA - Listing by Tiger Buttons - 114 New Lines for Listing  [B160-030].txt,2.96%,0.00%,1182,Geeignet,35,0,6543
711103 — HCO Bulletin — Auditor's Worksheets  [B050-048].txt,2.01%,0.67%,298,Geeignet,6,2,1700
620903 — HCO Bulletin — 3GA - Dynamic Assessment by Rock Slam  [B038-056].txt,2.68%,0.67%,149,Geeignet,4,1,968
621002 — HCO Bulletin — When You Need Reassurance  [B144-011].txt,5.26%,0.00%,114,Ungeeignet,6,0,698
610302 — HCO Bulletin — Use of SOP Goals Procedure  [B001-015].txt,4.86%,0.00%,247,Geeignet,12,0,1498
600211 — HCO Bulletin — Create and Confront  [B139-040].txt,1.66%,0.00%,964,Geeignet,16,0,5701
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B024-040].txt,10.00%,0.00%,80,Ungeeignet,8,0,542
570909 — HCO Bulletin — Processes to Be Run on HGC Preclears from This Date  [B033-053].txt,6.38%,0.15%,1349,Ungeeignet,86,2,7700
720817R — HCO Bulletin — Method 4 Notes  [B052-055].txt,3.41%,0.45%,440,Geeignet,15,2,2514
690724 — HCO Bulletin — Seriously Ill PCs  [B009-135].txt,6.06%,0.00%,231,Ungeeignet,14,0,1395
710630 Issue 2R — HCO Bulletin — Standard CS for Word Clearing In Session - Method 1  [B082-016].txt,2.36%,0.54%,552,Geeignet,13,3,3282
690514 — HCO Bulletin — Sickness  [B042-063].txt,5.96%,0.67%,890,Ungeeignet,53,6,5272
720327 Issue 2RA — HCO Bulletin Attachment — Course Supervisor Correction List - Additional Actions Required  [B096-015].txt,3.33%,0.00%,150,Geeignet,5,0,1007
601021 — HCO Bulletin — Future Plans  [B024-215].txt,4.66%,3.94%,279,Geeignet,13,11,1754
620704 — HCO Bulletin — Coachless Training - Use of a Doll  [B038-043].txt,7.93%,0.61%,164,Ungeeignet,13,1,948
570715 — HCO Training Bulletin — 8C on Students  [B033-046].txt,7.37%,1.05%,95,Ungeeignet,7,1,596
700829 — HCO Bulletin — Correction Typing Error  [B010-105].txt,7.23%,1.20%,83,Ungeeignet,6,1,545
580707 — HCO Bulletin — Contents and Coverage of HCA-HPA Course  [B022-058].txt,5.05%,0.00%,99,Ungeeignet,5,0,696
651210 — HCO Bulletin — E-Meter Drill Coaching  [B005-054].txt,2.93%,0.27%,376,Geeignet,11,1,2253
700911 — HCO Bulletin — Chronic Somatic - Dianetic Handling Of  [B078-019].txt,3.97%,0.00%,126,Geeignet,5,0,726
591112 — HCO Bulletin — Acknowledgements in Auditing  [B113-020].txt,5.27%,0.00%,493,Ungeeignet,26,0,2937
790807 — HCO Bulletin — False Data Stripping  [B103-007].txt,1.06%,0.09%,4445,Geeignet,47,4,25593
700826 — HCO Bulletin — Incomplete Cases  [B078-017].txt,3.97%,0.79%,755,Geeignet,30,6,4247
651126 — HCO Bulletin — Information on Rehabilitation  [B031-037].txt,5.47%,0.64%,311,Ungeeignet,17,2,1790
781206 — HCO Bulletin — Revivification  [B165-052].txt,4.14%,0.59%,338,Geeignet,14,2,1889
"590722 — HCO Bulletin — Amendment to the Code of a Scientologist, Clause-1, An  [B023-116].txt",3.68%,0.74%,136,Geeignet,5,1,864
600420 — HCO Bulletin — Processes  [B027-034].txt,5.26%,0.75%,133,Ungeeignet,7,1,845
720327 Issue 2RC — HCO Bulletin Attachment — Course Supervisor Correction List - Additional Actions Required  [B079-009].txt,3.33%,0.00%,150,Geeignet,5,0,1057
650921 — HCO Bulletin — Out-Tech  [B040-076].txt,6.34%,0.70%,426,Ungeeignet,27,3,2402
690606 — HCO Bulletin — Cramming  [B009-101].txt,3.34%,0.25%,808,Geeignet,27,2,4729
650315 — HCO Bulletin — Scientology VI - R6EW Goof  [B168-052].txt,2.13%,1.92%,469,Geeignet,10,9,2652
581228 — HCO Bulletin — Short Sessioning  [B022-104].txt,2.13%,0.15%,656,Geeignet,14,1,3706
570729 — HCO Bulletin — Withholds and Communication  [B021-041].txt,4.23%,0.00%,544,Geeignet,23,0,3231
690606 — HCO Bulletin — Cramming  [B151-011].txt,3.47%,0.25%,807,Geeignet,28,2,4728
591013 — HCO Bulletin — DEI Expanded Scale (with a Note on Salesmen)  [B035-154].txt,3.51%,0.46%,656,Geeignet,23,3,4033
720420 Issue 2 — HCO Bulletin — Product Purpose and Why and WC Error Correction  [B012-090].txt,4.39%,0.13%,775,Geeignet,34,1,4279
600512 — HCO Bulletin — Miscellaneous Items  [B065-018].txt,3.31%,0.50%,1208,Geeignet,40,6,6956
"591020 — HCO Bulletin — Experimental Process, An  [B139-011].txt",3.46%,0.00%,405,Geeignet,14,0,2391
600401 — HCO Bulletin — Some Points of Theory  [B141-018].txt,3.66%,0.23%,437,Geeignet,16,1,2597
590119 — HCO Bulletin — New HCA-HPA Course  [B023-023].txt,13.33%,4.44%,315,Ungeeignet,42,14,2328
710609 Issue 3 — HCO Bulletin — CS Rules  [B044-074].txt,6.16%,0.70%,568,Ungeeignet,35,4,3124
601006 — HCO Bulletin — Special Mailings  [B024-205].txt,4.40%,0.78%,386,Geeignet,17,3,2251
641210 — HCO Bulletin — Listen-Style Auditing  [B030-024].txt,1.42%,0.06%,1685,Geeignet,24,1,9449
651001R — HCO Bulletin — Mutter TR  [B089-006].txt,2.58%,0.37%,271,Geeignet,7,1,1612
660823 — HCO Bulletin — Service Facsimile  [B006-021].txt,3.27%,0.30%,336,Geeignet,11,1,2063
720419 — HCO Bulletin — ''Quickie'' Defined  [B012-088].txt,2.87%,0.14%,732,Geeignet,21,1,4234
600219 — HCO Bulletin — Vehicles  [B024-050].txt,2.87%,0.29%,348,Geeignet,10,1,2230
"600407 — HCO Bulletin — New Summary of Auditing, A  [B027-032].txt",2.30%,0.18%,2216,Geeignet,51,4,12377
"710802 — HCO Bulletin — TRs, Solo Course and Advanced Courses  [B045-020].txt",3.30%,1.83%,273,Geeignet,9,5,1541
690724 — HCO Bulletin — Seriously Ill PCs  [B042-122].txt,4.82%,0.00%,228,Geeignet,11,0,1397
780715RA — HCO Bulletin — Scientology Auditing CS-1  [B062-007].txt,4.87%,0.53%,4741,Geeignet,231,25,28710
"591029 — HCO Bulletin — Photograph of LRH, A  [B023-251].txt",2.47%,1.23%,162,Geeignet,4,2,891
690914 Issue 5 — HCO Bulletin — Learning Processes - Education by Duplication and Repetition  [B042-139].txt,1.26%,0.21%,476,Geeignet,6,1,2811
601103 — HCO Bulletin — Failed Help  [B027-080].txt,1.47%,0.00%,475,Geeignet,7,0,2545
760727 — HCO Bulletin — PTS Rundown and Vital Info RD - Position Corrected  [B100-002].txt,7.32%,0.28%,355,Ungeeignet,26,1,1958
710405RA — HCO Bulletin — Triple Reruns  [B130-009].txt,4.28%,0.79%,1261,Geeignet,54,10,6799
700715 — HCO Bulletin — Unresolved Pains  [B094-019].txt,2.29%,0.00%,873,Geeignet,20,0,5006
590306 — HCO Bulletin — How to Do a Diagnosis on Dynamic Straightwire  [B133-019].txt,2.81%,0.00%,463,Geeignet,13,0,2557
610617 — HCO Bulletin — Primary Scale Amended  [B001-057].txt,38.79%,3.27%,214,Ungeeignet,83,7,1913
581113 — HCO Bulletin — Training Drills  [B034-082].txt,6.91%,0.00%,405,Ungeeignet,28,0,2358
590111 — HCO Bulletin — 'An amusingly effective process...'  [B133-002].txt,21.57%,0.00%,51,Ungeeignet,11,0,337
700129 — HCO Bulletin — Null Lists in Dianetics  [B010-015].txt,4.73%,0.57%,529,Geeignet,25,3,3106
711120 Issue 2 — HCO Bulletin — Course Translation to Tape  [B052-054].txt,4.50%,0.36%,845,Geeignet,38,3,5274
690528 — HCO Bulletin — How Not to Erase  [B042-086].txt,1.06%,0.12%,853,Geeignet,9,1,4627
720619R — HCO Bulletin — Dinky Dictionaries  [B055-034].txt,2.81%,0.12%,818,Geeignet,23,1,5094
721021 Issue 2 — HCO Bulletin — Multiple Flow Evil Purpose Rundown  [B050-032].txt,6.71%,1.46%,343,Ungeeignet,23,5,2022
721107 Issue 4 — HCO Bulletin — Dianetic Assessment Lists  [B050-061].txt,4.85%,0.61%,330,Geeignet,16,2,1842
"780924 Issue 1R — HCO Bulletin — End of Endless Int Repair Rundown, The  [B165-049].txt",5.17%,0.93%,2362,Ungeeignet,122,22,13111
690919 — HCO Bulletin — Study Slowness  [B042-140].txt,4.05%,0.71%,420,Geeignet,17,3,2382
690727 — HCO Bulletin — Antibiotics  [B075-070].txt,2.18%,0.18%,550,Geeignet,12,1,3392
690914 Issue 5 — HCO Bulletin — Learning Processes - Education by Duplication and Repetition  [B075-080].txt,0.85%,0.21%,469,Geeignet,4,1,2793
640221 — HCO Bulletin — Scientology 6 - Taught only at Saint Hill Starrated for Class VI Students - Divisions of Training - Outline of Course  [B066-004].txt,1.46%,0.24%,824,Geeignet,12,2,4869
810729 Issue 1 — HCO Bulletin Attachment — List of Actions for Injuries and Illnesses - Attachment  [B056-077].txt,6.27%,0.33%,3890,Ungeeignet,244,13,22499
"651116 Issue 2 — HCO Bulletin — Commands for Upper Indoctrination - TR 6, TR 7, TR 9  [B067-019].txt",1.08%,0.00%,93,Geeignet,1,0,557
780709R — HCO Bulletin Attachment — Dianetic CS-1 - Definitions Sheet  [B102-009].txt,3.22%,0.00%,1770,Geeignet,57,0,11203
630418 — HCO Bulletin — Routine 3M2 - Directive Listing  [B063-016].txt,2.89%,0.12%,866,Geeignet,25,1,4738
710422 — HCO Bulletin — Cramming  [B044-047].txt,4.97%,0.33%,2695,Geeignet,134,9,15711
580113 — HCO Bulletin — HGC Running of PCs  [B022-002].txt,2.60%,0.58%,346,Geeignet,9,2,1865
790305R — HCO Bulletin — Dianetic Clear False Declares  [B173-004].txt,12.55%,0.76%,263,Ungeeignet,33,2,1619
670418 — HCO Bulletin — Religious Philosophy and Religious Practice  [B069-003].txt,2.09%,0.35%,287,Geeignet,6,1,1918
850514 — HCO Bulletin — Money and Finance Form  [B057-076].txt,1.46%,0.18%,1096,Geeignet,16,2,6881
681230 — HCO Bulletin — Lists  [B012-107].txt,9.72%,0.00%,144,Ungeeignet,14,0,805
"631017 — HCO Bulletin — R-2C Slow Assessment by Dynamics - Directions for Use of HCO Technical Form of October 17, AD13  [B003-074].txt",3.80%,0.13%,763,Geeignet,29,1,4161
620927 — HCO Bulletin — Dream Come True  [B160-028].txt,5.05%,0.00%,99,Ungeeignet,5,0,595
640612 — HCO Bulletin — Scientology VI - Starrated - Track Analysis - Experience on Routine 6  [B066-008].txt,1.84%,0.11%,2773,Geeignet,51,3,14882
590611 — HCO Bulletin — Magazine Articles  [B035-060].txt,3.30%,0.99%,303,Geeignet,10,3,1778
580322 — HCO Bulletin — Clearing Reality  [B034-024].txt,2.73%,0.00%,183,Geeignet,5,0,1046
600210 — HCO Bulletin — British E-Meter Operation  [B141-013].txt,3.44%,0.92%,436,Geeignet,15,4,2497
731120 Issue 2 — HCO Bulletin — FN What You Ask or Program  [B097-015].txt,4.97%,0.00%,322,Geeignet,16,0,1849
710925 — HCO Bulletin — Tone Scale in Full  [B011-172].txt,11.50%,1.50%,200,Ungeeignet,23,3,1455
580501 — HCO Bulletin — Signs of Success  [B062-002].txt,3.62%,0.00%,138,Geeignet,5,0,895
711016 — HCO Bulletin — Forcing a PC  [B046-021].txt,10.40%,1.60%,125,Ungeeignet,13,2,699
690519 — HCO Bulletin — Pastoral Counseling - Health Form  [B075-043].txt,1.37%,0.39%,511,Geeignet,7,2,3063
791006R — HCO Bulletin — Solo Auditor Drills HCOB - Cancelled  [B062-011].txt,4.42%,0.88%,113,Geeignet,5,1,691
610710 — HCO Bulletin — Metering Rudiments  [B001-064].txt,4.43%,0.00%,497,Geeignet,22,0,2904
600919 — HCO Bulletin — Captive Brains  [B065-026].txt,1.48%,0.13%,1553,Geeignet,23,2,8606
711021 — HCO Bulletin — Assists in Scientology  [B052-037].txt,0.75%,0.16%,3059,Geeignet,23,5,17103
"591029 — HCO Bulletin — Mailing Piece, A  [B023-250].txt",8.79%,0.48%,842,Ungeeignet,74,4,4739
600330 — HCO Bulletin — Interrogation (How to read an E-Meter on a silent subject)  [B036-059].txt,2.06%,1.11%,631,Geeignet,13,7,3459
